playerid,yearid,votedby,ballots,needed,votes,inducted,category,needed_note
cobbty01,1936,BBWAA,226,170,222,Y,Player,NULL
ruthba01,1936,BBWAA,226,170,215,Y,Player,NULL
wagneho01,1936,BBWAA,226,170,215,Y,Player,NULL
mathech01,1936,BBWAA,226,170,205,Y,Player,NULL
johnswa01,1936,BBWAA,226,170,189,Y,Player,NULL
lajoina01,1937,BBWAA,201,151,168,Y,Player,NULL
speaktr01,1937,BBWAA,201,151,165,Y,Player,NULL
youngcy01,1937,BBWAA,201,151,153,Y,Player,NULL
bulkemo99,1937,Centennial,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
johnsba99,1937,Centennial,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
mackco01,1937,Centennial,NULL,NULL,NULL,Y,Manager,NULL
mcgrajo01,1937,Veterans,NULL,NULL,NULL,Y,Manager,NULL
wrighge01,1937,Centennial,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
alexape01,1938,BBWAA,262,197,212,Y,Player,NULL
cartwal99,1938,Centennial,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
chadwhe99,1938,Centennial,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
sislege01,1939,BBWAA,274,206,235,Y,Player,NULL
collied01,1939,BBWAA,274,206,213,Y,Player,NULL
keelewi01,1939,BBWAA,274,206,207,Y,Player,NULL
ansonca01,1939,Old Timers,NULL,NULL,NULL,Y,Player,NULL
comisch01,1939,Old Timers,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
cummica01,1939,Old Timers,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
ewingbu01,1939,Old Timers,NULL,NULL,NULL,Y,Player,NULL
gehrilo01,1939,Special Election,NULL,NULL,NULL,Y,Player,NULL
radboch01,1939,Old Timers,NULL,NULL,NULL,Y,Player,NULL
spaldal01,1939,Old Timers,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
hornsro01,1942,BBWAA,233,175,182,Y,Player,NULL
landike99,1944,Old Timers,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
bresnro01,1945,Old Timers,NULL,NULL,NULL,Y,Player,NULL
broutda01,1945,Old Timers,NULL,NULL,NULL,Y,Player,NULL
clarkfr01,1945,Old Timers,NULL,NULL,NULL,Y,Player,NULL
colliji01,1945,Old Timers,NULL,NULL,NULL,Y,Player,NULL
delahed01,1945,Old Timers,NULL,NULL,NULL,Y,Player,NULL
duffyhu01,1945,Old Timers,NULL,NULL,NULL,Y,Player,NULL
jennihu01,1945,Old Timers,NULL,NULL,NULL,Y,Player,NULL
kellyki01,1945,Old Timers,NULL,NULL,NULL,Y,Player,NULL
orourji01,1945,Old Timers,NULL,NULL,NULL,Y,Player,NULL
robinwi01,1945,Old Timers,NULL,NULL,NULL,Y,Manager,NULL
burkeje01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
chancfr01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
chesbja01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
eversjo01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
griffcl01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
mccarto01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
mcginjo01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
planked01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
tinkejo01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
wadderu01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
walshed01,1946,Old Timers,NULL,NULL,NULL,Y,Player,NULL
hubbeca01,1947,BBWAA,161,121,140,Y,Player,NULL
friscfr01,1947,BBWAA,161,121,136,Y,Player,NULL
cochrmi01,1947,BBWAA,161,121,128,Y,Player,NULL
grovele01,1947,BBWAA,161,121,123,Y,Player,NULL
pennohe01,1948,BBWAA,121,91,94,Y,Player,NULL
traynpi01,1948,BBWAA,121,91,93,Y,Player,NULL
gehrich01,1949,Run Off,187,NULL,159,Y,Player,1st
brownmo01,1949,Old Timers,NULL,NULL,NULL,Y,Player,NULL
nichoki01,1949,Old Timers,NULL,NULL,NULL,Y,Player,NULL
ottme01,1951,BBWAA,226,170,197,Y,Player,NULL
foxxji01,1951,BBWAA,226,170,179,Y,Player,NULL
heilmha01,1952,BBWAA,234,176,203,Y,Player,NULL
wanerpa01,1952,BBWAA,234,176,195,Y,Player,NULL
deandi01,1953,BBWAA,264,198,209,Y,Player,NULL
simmoal01,1953,BBWAA,264,198,199,Y,Player,NULL
barroed99,1953,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
bendech01,1953,Veterans,NULL,NULL,NULL,Y,Player,NULL
connoto99,1953,Veterans,NULL,NULL,NULL,Y,Umpire,NULL
klembi99,1953,Veterans,NULL,NULL,NULL,Y,Umpire,NULL
wallabo01,1953,Veterans,NULL,NULL,NULL,Y,Player,NULL
wrighha01,1953,Veterans,NULL,NULL,NULL,Y,Pioneer/Executive,NULL
maranra01,1954,BBWAA,252,189,209,Y,Player,NULL
dickebi01,1954,BBWAA,252,189,202,Y,Player,NULL
terrybi01,1954,BBWAA,252,189,195,Y,Player,NULL
dimagjo01,1955,BBWAA,251,189,223,Y,Player,NULL
lyonste01,1955,BBWAA,251,189,217,Y,Player,NULL
vanceda01,1955,BBWAA,251,189,205,Y,Player,NULL
hartnga01,1955,BBWAA,251,189,195,Y,Player,NULL
bakerfr01,1955,Veterans,NULL,NULL,NULL,Y,Player,NULL
schalra01,1955,Veterans,NULL,NULL,NULL,Y,Player,NULL
greenha01,1956,BBWAA,193,145,164,Y,Player,NULL
cronijo01,1956,BBWAA,193,145,152,Y,Player,NULL
crawfsa01,1957,Veterans,NULL,NULL,NULL,Y,Player,NULL
mccarjo99,1957,Veterans,NULL,NULL,NULL,Y,Manager,NULL
wheatza01,1959,Veterans,NULL,NULL,NULL,Y,Player,NULL
careyma01,1961,Veterans,NULL,NULL,NULL,Y,Player,NULL
hamilbi01,1961,Veterans,NULL,NULL,NULL,Y,Player,NULL
fellebo01,1962,BBWAA,160,120,150,Y,Player,NULL
robinja02,1962,BBWAA,160,120,124,Y,Player,NULL
mckecbi01,1962,Veterans,NULL,NULL,NULL,Y,Manager,NULL
roushed01,1962,Veterans,NULL,NULL,NULL,Y,Player,NULL
clarkjo01,1963,Veterans,NULL,NULL,NULL,Y,Player,NULL
flickel01,1963,Veterans,NULL,NULL,NULL,Y,Player,NULL
ricesa01,1963,Veterans,NULL,NULL,NULL,Y,Player,NULL
rixeyep01,1963,Veterans,NULL,NULL,NULL,Y,Player,NULL
applilu01,1964,Run Off,201,NULL,189,Y,Player,1st
faberre01,1964,Veterans,NULL,NULL,NULL,Y,Player,NULL
grimebu01,1964,Veterans,NULL,NULL,NULL,Y,Player,NULL
huggimi01,1964,Veterans,NULL,NULL,NULL,Y,Manager,NULL
keefeti01,1964,Veterans,NULL,NULL,NULL,Y,Player,NULL
manushe01,1964,Veterans,NULL,NULL,NULL,Y,Player,NULL
wardjo01,1964,Veterans,NULL,NULL,NULL,Y,Player,NULL
galvipu01,1965,Veterans,NULL,NULL,NULL,Y,Player,NULL
